text_metaphor_id,language,pair_id,text,control,source,target,source_minus_control,target_minus_control,source_minus_target
argument_war,en,p1,defending an argument,0.18029194,0.2163165,0.21617338,0.03602457,0.035881445,0.00014312565
argument_war,en,p2,attacking a point,0.16535556,0.18879819,0.18746161,0.023442626,0.022106051,0.0013365746
argument_war,en,p3,winning an argument,0.17024553,0.18002024,0.20932703,0.009774715,0.0390815,-0.029306784
argument_war,en,p4,losing an argument,0.17178309,0.19036767,0.21006505,0.01858458,0.038281962,-0.019697383
argument_war,en,p5,demolishing an argument,0.17723808,0.2153016,0.22091834,0.038063526,0.043680266,-0.0056167394
argument_war,ru,p1,защищать аргумент,0.18998602,0.20076294,0.1969266,0.010776922,0.0069405735,0.0038363487
argument_war,ru,p2,атаковать позицию,0.18833569,0.20623615,0.20394877,0.017900467,0.015613079,0.0022873878
argument_war,ru,p3,выиграть спор,0.17928435,0.18137287,0.18697886,0.002088517,0.0076945126,-0.0056059957
argument_war,ru,p4,проиграть спор,0.19743404,0.19764206,0.2003802,0.00020802021,0.0029461682,-0.002738148
argument_war,ru,p5,разбить аргументацию,0.19106069,0.20367117,0.20047674,0.01261048,0.009416044,0.0031944364
love_journey,en,p1,the relationship is not going anywhere,0.19390206,0.20260887,0.23960724,0.008706808,0.045705184,-0.036998376
love_journey,en,p2,the relationship is foundering,0.19773181,0.2087138,0.24115562,0.010981992,0.043423817,-0.032441825
love_journey,en,p3,moving forward together,0.19914745,0.22502884,0.22733507,0.025881395,0.028187618,-0.002306223
love_journey,en,p4,be stuck in the relationships,0.18159814,0.20494509,0.23760906,0.023346946,0.056010917,-0.03266397
love_journey,en,p5,going through a relationship,0.16559914,0.18609728,0.21732509,0.020498142,0.051725954,-0.031227812
love_journey,ru,p1,отношения ни к чему не приведут,0.19048831,0.20176211,0.20151076,0.011273801,0.011022449,0.0002513528
love_journey,ru,p2,отношения идут ко дну,0.18798205,0.19781993,0.19923045,0.009837881,0.011248395,-0.0014105141
love_journey,ru,p3,идти вперед вместе,0.18834227,0.19951245,0.19642918,0.011170179,0.008086905,0.0030832738
love_journey,ru,p4,застрять в отношениях,0.19052908,0.20706923,0.20147069,0.016540155,0.01094161,0.005598545
love_journey,ru,p5,пройти отношения,0.1958501,0.20700803,0.20414433,0.01115793,0.008294225,0.0028637052
time_money,en,p1,saving time,0.18179508,0.19960502,0.25046673,0.017809942,0.06867166,-0.050861716
time_money,en,p2,wasting time,0.19298825,0.19561076,0.24512401,0.002622515,0.052135766,-0.04951325
time_money,en,p3,running out of time,0.19327316,0.19655792,0.254273,0.0032847673,0.06099984,-0.057715073
time_money,en,p4,investing time,0.1844673,0.23107538,0.23034307,0.046608075,0.045875773,0.00073230267
time_money,en,p5,losing time,0.18834141,0.19198917,0.24497995,0.0036477596,0.05663854,-0.05299078
time_money,ru,p1,экономить время,0.18677302,0.20333263,0.20226303,0.016559616,0.01549001,0.0010696054
time_money,ru,p2,попусту тратить время,0.19096868,0.22177394,0.21539788,0.03080526,0.024429202,0.006376058
time_money,ru,p3,заканчивается время,0.19390589,0.21109971,0.20557447,0.017193824,0.011668578,0.0055252463
time_money,ru,p4,вкладывать время,0.18661457,0.20756054,0.20402071,0.020945966,0.017406136,0.0035398304
time_money,ru,p5,терять время,0.17882779,0.19415703,0.19758072,0.015329242,0.018752933,-0.0034236908
